Shaking effect,Line,Tet,Sex,Days post eclosion,Fluorescence
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
1,HR5/IE1,0,Female,2,Green+Red
1,HR5/IE1,0,Female,2,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Female,5,Green+Red
1,HR5/IE1,0,Female,5,Green+Red
1,HR5/IE1,0,Female,5,Green+Red
1,HR5/IE1,0,Female,5,Green+Red
1,HR5/IE1,0,Female,5,Green+Red
1,HR5/IE1,0,Female,5,Green+Red
1,HR5/IE1,0,Female,5,Green+Red
1,HR5/IE1,0,Female,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Male,5,Green+Red
1,HR5/IE1,0,Female,6,Green+Red
1,HR5/IE1,0,Female,6,Green+Red
1,HR5/IE1,0,Male,6,Green+Red
1,HR5/IE1,0,Male,6,Green+Red
1,HR5/IE1,0,Male,6,Green+Red
1,HR5/IE1,0,Male,6,Green+Red
1,HR5/IE1,0,Male,6,Green+Red
1,HR5/IE1,0,Male,6,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Male,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,OP/IE2,0,Female,8,Green+Red
0,HR5/IE1,0,Male,8,Green+Red
0,HR5/IE1,0,Male,8,Green+Red
0,HR5/IE1,0,Male,8,Green+Red
0,HR5/IE1,0,Male,8,Green+Red
0,HR5/IE1,0,Male,8,Green+Red
0,HR5/IE1,0,Male,8,Green+Red
0,HR5/IE1,0,Male,8,Green+Red
0,HR5/IE1,0,Male,8,Green+Red
0,HR5/IE1,0,Male,8,Green+Red
0,HR5/IE1,0,Male,8,Green+Red
0,HR5/IE1,0,Male,8,Green+Red
0,HR5/IE1,0,Male,8,Green+Red
0,HR5/IE1,0,Male,8,Green+Red
0,HR5/IE1,0,Male,8,Green+Red
0,HR5/IE1,0,Male,8,Green+Red
0,HR5/IE1,0,Male,8,Green+Red
0,HR5/IE1,0,Male,8,Green+Red
0,HR5/IE1,0,Male,8,Green+Red
0,HR5/IE1,0,Male,8,Green+Red
0,HR5/IE1,0,Male,8,Green+Red
0,HR5/IE1,0,Male,8,Green+Red
0,HR5/IE1,0,Male,8,Green+Red
0,HR5/IE1,0,Male,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
0,HR5/IE1,0,Female,8,Green+Red
